"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 03, 2020","0.76570","0.77570","0.78300","0.75220","572.78K","-1.29%"
"Jul 02, 2020","0.77570","0.82980","0.83500","0.74160","528.90K","-6.52%"
"Jul 01, 2020","0.82980","0.86660","0.90430","0.82190","545.76K","-4.25%"
"Jun 30, 2020","0.86660","0.85680","1.01020","0.84500","576.22K","1.14%"
"Jun 29, 2020","0.85680","0.79290","0.88780","0.76900","575.44K","8.26%"
"Jun 28, 2020","0.79140","0.71000","0.84640","0.68480","490.39K","11.46%"
"Jun 27, 2020","0.71000","0.74940","0.74940","0.67130","566.29K","-5.26%"
"Jun 26, 2020","0.74940","0.70770","0.75680","0.67950","533.69K","5.89%"
"Jun 25, 2020","0.70770","0.73970","0.75970","0.69500","568.21K","-4.33%"
"Jun 24, 2020","0.73970","0.70690","0.80020","0.69270","556.41K","4.64%"
"Jun 23, 2020","0.70690","0.73270","0.76720","0.69700","534.96K","-3.15%"
"Jun 22, 2020","0.72990","0.66480","0.75190","0.64260","555.21K","9.79%"
"Jun 21, 2020","0.66480","0.64620","0.75410","0.63570","544.92K","2.88%"
"Jun 20, 2020","0.64620","0.68990","0.69490","0.62340","591.24K","-6.33%"
"Jun 19, 2020","0.68990","0.61800","0.84820","0.61650","583.64K","11.63%"
"Jun 18, 2020","0.61800","0.57970","0.65370","0.57680","560.69K","6.61%"
"Jun 17, 2020","0.57970","0.58660","0.59180","0.56230","564.00K","-1.18%"
"Jun 16, 2020","0.58660","0.56730","0.58930","0.56600","577.70K","3.40%"
